#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:8
z)bXG	Kanji Study Word Model v3	palabras	1547100	養育	養[よう] 育[いく]	"<small><font color=""#78909C"">Noun, Suru-verb</font></small><br> bringing up, rearing, upbringing"	
lyO#U	Kanji Study Word Model v3	palabras	1547090	養う	養[やしな]う	<small><font color='#78909C'>Godan verb ending in う, Transitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to support, to maintain, to provide for<br><b><font color='#4EAA72'><small>2.</small></font></b> to bring up, to raise, to rear, to feed<br><b><font color='#4EAA72'><small>3.</small></font></b> to adopt <font color='#808080'>(a child)</font><br><b><font color='#4EAA72'><small>4.</small></font></b> to cultivate <font color='#808080'>(a habit, a quality, etc.)</font>, to develop, to build up, to foster<br><b><font color='#4EAA72'><small>5.</small></font></b> to recuperate <font color='#808080'>(from injury, illness, etc.)</font>	
P4JKN	Kanji Study Word Model v3	palabras	1320850	実る, 稔る	実[みの]る,  稔[みの]る	<small><font color='#78909C'>Godan verb ending in る, Intransitive verb</font></small><br> to bear fruit, to ripen	
r!ZkO	Kanji Study Word Model v3	palabras	1321530	実力	実[じつ] 力[りょく]	<small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> <font color='#808080'>(real)</font> ability, true strength, merit, efficiency, competency<br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(See 実力行使)</font> arms, force	
{n>1B	Kanji Study Word Model v3	palabras	1313670	事業	事[じ] 業[ぎょう]	<small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> project, enterprise, business, industry, operations, venture, service<br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(ことわざ only)</font> <font color='#808080'>(See 仕業)</font> act, deed, conduct	
z%/MP	Kanji Study Word Model v3	palabras	1278040	工業	工[こう] 業[ぎょう]	<small><font color='#78909C'>Noun</font></small><br> <font color='#808080'>(manufacturing)</font> industry	
_mi=O	Kanji Study Word Model v3	palabras	1303770	産業	産[さん] 業[ぎょう]	<small><font color='#78909C'>Noun, No-adjective</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> industry<br><small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(archaism)</font> livelihood, occupation	
z2M:1	Kanji Study Word Model v3	palabras	1351730	詳しい	詳[くわ]しい	<small><font color='#78909C'>I-adjective</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> detailed, full, accurate<br><b><font color='#4EAA72'><small>2.</small></font></b> <font color='#808080'>(antonym: 疎い・2)</font> knowing very well, well-acquainted, well-informed	
-^fLB	Kanji Study Word Model v3	palabras	1351760	詳細	詳[しょう] 細[さい]	<small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> details, particulars, specifics<br><small><font color='#78909C'>Na-adjective</font></small> <br><b><font color='#4EAA72'><small>2.</small></font></b> detailed, specific, minute<br><small><font color='#78909C'>Noun</font></small> <br><b><font color='#4EAA72'><small>3.</small></font></b> <font color='#808080'>(antonym: 広域・2)</font> close-up view <font color='#808080'>(of a digitally displayed map)</font>, zoomed-in view	
r18q7	Kanji Study Word Model v3	palabras	1606020	蘇る, 甦る	蘇[よみがえ]る,  甦[よみがえ]る	<small><font color='#78909C'>Godan verb ending in る, Intransitive verb</font></small> <br><b><font color='#4EAA72'><small>1.</small></font></b> to be resurrected, to be resuscitated, to be rehabilitated, to be revived, to be refreshed, to be restored<br><b><font color='#4EAA72'><small>2.</small></font></b> to be recalled <font color='#808080'>(e.g. memories)</font>, to be brought back	
